#{"t_start": 1670722893.565651, "env_id": null}
r,l,t
1107.159002,1202,781.302528
1480.063039,1202,785.192117
1062.941062,1202,789.515443
1079.456761,1202,793.873518
1438.331269,1202,798.171885
1170.080216,1202,802.415381
1253.472774,1202,806.345825
2366.392751,1202,810.506879
2430.058502,1202,814.771683
1950.137459,1202,819.009207
1150.933856,1202,823.423077
1028.455976,1202,827.686323
-822.225412,1202,832.185852
-600.205713,1202,836.205337
-1439.46667,1116,839.972315
-1294.682027,1202,844.263571
958.889825,1202,848.31454
834.552632,1202,852.344933
777.152119,1202,856.544528
718.051029,1202,860.307311
900.739249,1202,864.141676
774.249208,1202,868.132693
802.625337,1202,871.983984
656.040502,1202,875.842967
702.301841,1202,879.85754
689.824332,1202,883.931244
736.177075,1202,887.854385
712.366765,1202,891.955196
663.991387,1202,895.897236
506.764691,1202,899.886764
773.359686,1202,903.854546
563.696566,1202,907.755682
710.470786,1202,911.410297
772.842968,1202,915.217556
935.391765,1202,919.127147
685.588368,1202,923.266181
929.489067,1202,927.151867
646.996904,1202,930.857338
746.248375,1202,935.056927
690.400538,1202,939.14975
857.713408,1202,943.120995
685.994523,1202,947.163247
731.604159,961,950.671856
1128.109435,1202,955.13168
1440.026333,1202,959.123083
749.724866,1202,963.512311
749.724866,1202,967.755331
749.724866,1202,971.788318
793.685332,1202,975.928632
749.724866,1202,979.808817
749.724866,1202,983.652903
749.724866,1202,987.451605
745.779057,1202,991.529007
681.591515,1202,995.744075
828.838393,1202,1000.045681
1163.426332,1202,1004.600729
1053.243862,1202,1008.40812
1032.049272,1202,1012.553936
1007.594493,1202,1016.605583
844.645853,1202,1020.840527
859.588647,1202,1024.793158
829.677312,1202,1028.616307
748.260989,1202,1032.461741
750.040371,1202,1036.284202
755.669581,1202,1040.321067
748.006064,1202,1044.279551
908.255244,1202,1048.169235
759.079294,1202,1051.895955
749.724866,1202,1055.563665
749.724866,1202,1059.32437
749.724866,1202,1062.979087
749.724866,1202,1066.607472
749.724866,1202,1070.348902
749.724866,1202,1074.225663
746.322223,1202,1078.209177
749.724866,1202,1082.267759
749.724866,1202,1086.152972
749.724866,1202,1090.291077
549.966245,1177,1094.244889
924.50063,1202,1098.223866
183.103558,619,1100.341153
749.724866,1202,1104.168973
749.724866,1202,1108.142208
749.724866,1202,1112.079222
749.724866,1202,1116.063229
748.191485,1202,1120.037084
729.539629,1202,1123.885916
883.362795,1202,1127.826241
892.056819,1202,1131.761935
918.754602,1202,1135.865307
773.293967,1202,1139.795081
765.174564,1202,1143.802984
827.851359,1202,1147.667756
780.842529,1202,1151.563025
747.52754,1202,1155.556782
749.724866,1202,1159.619792
749.724866,1202,1163.530309
749.724866,1202,1167.448937
749.724866,1202,1171.484252
749.724866,1202,1175.494532
749.724866,1202,1179.498492
749.724866,1202,1183.468579
749.724866,1202,1187.329713
749.724866,1202,1191.345106
749.724866,1202,1195.550309
749.724866,1202,1199.620216
749.724866,1202,1203.515923
749.724866,1202,1207.52162
749.724866,1202,1211.727255
749.724866,1202,1215.816132
749.724866,1202,1219.82716
749.724866,1202,1223.879485
745.502669,1202,1227.861981
798.358309,1202,1231.84181
804.076532,1202,1235.78905
760.691124,1202,1239.77589
232.531706,673,1241.990953
-2721.190671,456,1243.530788
-993.109582,599,1245.525552
175.214291,616,1247.574983
549.873355,873,1250.467569
-632.218794,358,1251.706864
-7399.886936,643,1253.873978
-1593.141086,360,1255.130434
-8014.800919,658,1257.335425
-27748.761646,1202,1261.371947
-27735.171275,1202,1265.185445
-15612.733431,768,1267.822927
-16188.949447,832,1270.599468
-8907.076933,656,1272.844459
-12724.554295,689,1275.110041
-11528.678399,643,1277.097291
-18928.509812,907,1279.860696
-12134.922719,648,1281.863382
-27716.651463,1202,1285.806954
-27752.134452,1202,1289.703176
-19291.128407,893,1292.593052
-16603.236414,784,1295.18484
-27457.699518,1187,1298.962813
-27792.294893,1202,1303.106181
-27791.463268,1202,1307.820681
-27694.90677,1202,1312.584127
-27565.081171,1202,1317.243536
-25666.233029,1202,1322.088891
-24682.195597,1202,1326.756928
-25566.568259,1202,1331.237033
-25505.788638,1192,1335.447629
-22319.98193,1122,1339.500866
-20881.910834,1202,1343.832382
-18954.454486,1202,1348.162052
-19084.87391,1202,1352.513608
-19004.929973,1202,1356.753418
-2903.423584,292,1357.808463
-2738.785377,286,1358.882142
-2657.902718,283,1359.950311
-2913.327286,297,1361.227743
-2581.370529,271,1362.357388
-2499.597122,267,1363.399463
-2404.133869,265,1364.488078
-2284.797462,254,1365.538815
-1558.722126,297,1366.76357
-1896.643817,293,1367.95856
-1445.940742,306,1369.281839
-1520.908478,266,1370.413665
-1732.093687,280,1371.604233
-3019.784903,303,1372.977948
-6260.533036,482,1375.082008
-10794.805914,700,1377.760574
-4827.982682,405,1379.418814
-10348.220875,659,1381.991254
-3782.656869,357,1383.399137
-2320.45604,269,1384.524562
-1829.594593,248,1385.484339
-2288.490221,311,1386.726398
-2035.251456,280,1387.845011
-1340.429013,218,1388.725221
-1938.284337,270,1389.845069
-1579.042582,236,1390.896796
-1611.901281,233,1391.890549
-1543.616609,242,1392.79634
-1444.961426,225,1393.838475
-1580.086626,244,1394.819278
-1440.225682,273,1396.004441
-873.455255,321,1397.361885
-771.505307,338,1398.781847
-915.393854,281,1399.993412
-875.604984,268,1401.158469
-417.228002,382,1402.692266
-460.199812,387,1404.368763
-826.351836,332,1405.647407
-519.623775,322,1406.982517
-3.897053,436,1408.730764
625.933061,1005,1412.590814
557.088134,836,1415.84284
425.242332,751,1418.923388
530.573799,948,1422.582575
336.284418,1009,1426.416
-729.883988,232,1427.419339
-564.373571,212,1428.335746
-777.210854,215,1429.187912
-613.471901,200,1430.002489
-690.61691,215,1430.841098
-673.483371,212,1431.764079
-694.610551,223,1432.770917
-585.247108,249,1433.843143
-643.432112,249,1434.943789
-657.286685,261,1436.027256
-663.401382,252,1437.068482
-679.471659,261,1438.113496
-881.392983,242,1439.038225
-831.224991,255,1439.999851
-873.866805,279,1441.020154
-995.371811,245,1441.995646
-914.829197,261,1443.024175
-734.400707,237,1443.953978
-871.819115,219,1444.838586
-880.183388,237,1445.778972
-670.137025,255,1446.828215
-727.345768,266,1447.80831
-762.973741,249,1448.804853
-845.840907,245,1449.732477
-722.743944,244,1450.685415
-648.13113,243,1451.597978
-557.811507,259,1452.547283
-621.178181,247,1453.502019
-625.625007,249,1454.464032
-640.823254,256,1455.541888
-587.071305,272,1456.659268
-564.457347,268,1457.630588
-536.261609,254,1458.623174
-641.165444,256,1459.635241
-570.2268,232,1460.653884
-615.886878,230,1461.626094
-611.997835,239,1462.491752
-695.23363,251,1463.385085
-655.464734,261,1464.364455
-621.641431,246,1465.292317
-626.315133,249,1466.228021
-660.235663,260,1467.136696
-760.305538,265,1468.109603
-770.467167,267,1469.069862
-1152.711255,281,1470.216361
-1030.040596,275,1471.18868
-698.917486,257,1472.112216
-703.991077,248,1473.006573
-758.779334,247,1473.911541
-799.934574,265,1474.881947
-725.490672,256,1475.836207
-788.427648,265,1476.774005
-712.763192,252,1477.704083
-793.131923,252,1478.653406
-826.332606,268,1479.67497
-1014.110512,271,1480.722378
-1125.772431,279,1481.862391
-935.248601,266,1482.905777
-706.499469,255,1483.921001
-738.359667,264,1484.939452
-743.558372,266,1486.008286
-705.092303,249,1486.913486
-904.835632,274,1487.932811
-785.739782,266,1488.897302
-837.561896,271,1489.921496
-732.343341,263,1490.872083
-744.098556,260,1491.903291
-768.248939,260,1492.84619
-728.715732,254,1493.8347
-779.869997,258,1494.77562
